fold,date,method,return
33,2025-01-24,QAUR,0.01753248441687514
34,2025-02-03,AUR,-0.009680096657909826
34,2025-02-03,QAUR,-0.008095587586191182
34,2025-02-04,AUR,0.0007122029350455198
34,2025-02-04,QAUR,0.00014763389117431646
34,2025-02-05,AUR,0.001959674398089765
34,2025-02-05,QAUR,0.0018852359138158907
34,2025-02-06,AUR,0.004163533019106115
34,2025-02-06,QAUR,0.003317479849108071
34,2025-02-07,AUR,-0.002297866057906326
34,2025-02-07,QAUR,-0.002992195808491743
34,2025-02-10,AUR,-0.005415676946504673
34,2025-02-10,QAUR,-0.0047681041977490814
34,2025-02-11,AUR,-0.005102005947175697
34,2025-02-11,QAUR,-0.001630516574429136
34,2025-02-12,AUR,-0.0018723752633731231
34,2025-02-12,QAUR,-0.000568049406641061
34,2025-02-13,AUR,0.004645531618068982
34,2025-02-13,QAUR,0.006301176346446595
34,2025-02-14,AUR,0.0002176575730312087
34,2025-02-14,QAUR,0.0027556157784963025
34,2025-02-17,AUR,0.0011048928894913947
34,2025-02-17,QAUR,-0.00022534521105568116
34,2025-02-18,AUR,8.794754937202307e-05
34,2025-02-18,QAUR,-0.0003527414660278439
34,2025-02-19,AUR,0.00795699079723797
34,2025-02-19,QAUR,0.007380238617375903
34,2025-02-20,AUR,0.0002612344179051893
34,2025-02-20,QAUR,0.0004558535570679944
34,2025-02-21,AUR,0.006296545137417661
34,2025-02-21,QAUR,0.010285982963051315
34,2025-02-24,AUR,0.0016181497629964355
34,2025-02-24,QAUR,0.0028384111044002834
34,2025-02-25,AUR,-0.0037902965544836945
34,2025-02-25,QAUR,-0.0036407679029572767
34,2025-02-26,AUR,0.0007507580026468702
34,2025-02-26,QAUR,0.0027779019899493032
34,2025-02-27,AUR,0.008204441663455658
34,2025-02-27,QAUR,0.006971577075656455
34,2025-02-28,AUR,-0.0025446526446999914
34,2025-02-28,QAUR,-0.004384147741941129
35,2025-03-03,AUR,0.0009393303932366083
35,2025-03-03,QAUR,0.001489676209458148
35,2025-03-04,AUR,-0.0013164658239775656
35,2025-03-04,QAUR,-0.0008717054231536098
35,2025-03-05,AUR,0.0032062981753657946
35,2025-03-05,QAUR,0.003498427598377908
35,2025-03-06,AUR,0.005996488182768132
35,2025-03-06,QAUR,0.0029048490385406877
35,2025-03-07,AUR,-0.003098891689669263
35,2025-03-07,QAUR,-0.0033490165650593177
35,2025-03-10,AUR,-0.000913270291448149
35,2025-03-10,QAUR,-0.00028836086222456083
35,2025-03-11,AUR,-0.0009590280495107011
35,2025-03-11,QAUR,-0.0004437085003031821
35,2025-03-12,AUR,0.006048516264007378
35,2025-03-12,QAUR,0.00787951385127042
35,2025-03-13,AUR,-0.011782369714911313
35,2025-03-13,QAUR,-0.011707705843360849
35,2025-03-14,AUR,0.006981628781595151
35,2025-03-14,QAUR,0.006768713817494989
35,2025-03-17,AUR,0.0066721753568080005
35,2025-03-17,QAUR,0.0073197049199889425
35,2025-03-18,AUR,-0.003279527826130088
35,2025-03-18,QAUR,-0.005346007013158052
35,2025-03-19,AUR,-0.0012675883335970478
35,2025-03-19,QAUR,-0.0009708036855827938
35,2025-03-20,AUR,0.0037549725396737537
35,2025-03-20,QAUR,0.00344767918443713
35,2025-03-21,AUR,-0.0030527627928436107
35,2025-03-21,QAUR,-0.003098938040387203
35,2025-03-24,AUR,0.00895089238416345
35,2025-03-24,QAUR,0.008866058944483193
35,2025-03-25,AUR,-0.0017454732958557615
35,2025-03-25,QAUR,-0.001798944784025161
35,2025-03-26,AUR,-0.0030531501175263625
35,2025-03-26,QAUR,-0.0019504417398026601
35,2025-03-27,AUR,-0.005208628291106188
35,2025-03-27,QAUR,-0.005970444029499253
35,2025-03-28,AUR,-0.002979525689484696
35,2025-03-28,QAUR,-0.003999079722426031
35,2025-03-31,AUR,-0.008113413700099844
35,2025-03-31,QAUR,-0.007147451760633529
35,2025-04-01,AUR,0.005431273628957173
35,2025-04-01,QAUR,0.005015163046144567
36,2025-04-02,AUR,0.002854866981383339
36,2025-04-02,QAUR,0.0026566072848388566
36,2025-04-03,AUR,-0.05201985441374799
36,2025-04-03,QAUR,-0.05354801518352249
36,2025-04-04,AUR,-0.004578309644165888
36,2025-04-04,QAUR,-0.006783103113870037
36,2025-04-08,AUR,-0.041052961712345126
36,2025-04-08,QAUR,-0.03996519537113398
36,2025-04-09,AUR,-0.01897295400940129
36,2025-04-09,QAUR,-0.017838616296556777
36,2025-04-10,AUR,0.0623579232956656
36,2025-04-10,QAUR,0.06235793920215745
36,2025-04-11,AUR,0.023599156882058762
36,2025-04-11,QAUR,0.025710834085207003
36,2025-04-14,AUR,-0.0014177345520617602
36,2025-04-14,QAUR,-0.00012155557298410974
36,2025-04-15,AUR,0.0017556890302781636
36,2025-04-15,QAUR,0.0010351978720810466
36,2025-04-16,AUR,-0.0016440021067564141
36,2025-04-16,QAUR,-0.004637731615127309
36,2025-04-17,AUR,-0.011274402983790833
36,2025-04-17,QAUR,-0.01099983904907177
36,2025-04-18,AUR,0.00027861566340800183
36,2025-04-18,QAUR,0.0017553834607151558
36,2025-04-21,AUR,-0.004118876566673498
36,2025-04-21,QAUR,-0.0053219763371272315
36,2025-04-22,AUR,-0.010946940864835655
36,2025-04-22,QAUR,-0.011440655654464874
36,2025-04-23,AUR,0.004884673375466073
36,2025-04-23,QAUR,0.006816664004590399
36,2025-04-24,AUR,0.005887965498467597
36,2025-04-24,QAUR,0.006512435485916785
36,2025-04-25,AUR,-0.0026920723801701725
36,2025-04-25,QAUR,-0.001729676798214505
36,2025-04-28,AUR,-0.004970855906745824
36,2025-04-28,QAUR,-0.0058987960423599346
36,2025-04-29,AUR,0.0022169901548852464
36,2025-04-29,QAUR,0.0009871828417591288
37,2025-05-05,AUR,0.01796930222426559
37,2025-05-05,QAUR,0.019705443848068122
37,2025-05-06,AUR,0.000500465672783948
37,2025-05-06,QAUR,-0.0019198549540194996
37,2025-05-07,AUR,0.002072765223823203
37,2025-05-07,QAUR,0.004796570279472237
