policy_id,lookback,threshold,switching_cost_bps,worst_return,worst_sharpe,worst_drawdown,minimum_exposure,median_return,stable
MG_L10_T2_C0,10,0.02,0.0,-0.03096598487376845,-0.15292628952694648,-0.22097012203201116,0.125,0.016082460375342,False
MG_L200_T-2_C100,200,-0.02,100.0,-0.04827445976315958,-0.15995722212024951,-0.30203319479990987,0.6206896551724138,0.14083040118953327,False
MG_L160_T-2_C100,160,-0.02,100.0,-0.04864672806293391,-0.16677506756827623,-0.30203319479990987,0.5862068965517241,0.1403923821908546,False
MG_L200_T0_C0,200,0.0,0.0,-0.05100899805000725,-0.170895769707116,-0.30203319479990975,0.5862068965517241,0.1738982643211654,False
MG_L252_T-2_C50,252,-0.02,50.0,-0.05646749545653096,-0.18145470203812894,-0.3020331947999101,0.6206896551724138,0.18049473190618803,False
MG_L90_T0_C100,90,0.0,100.0,-0.03207609634508268,-0.20297390450769817,-0.15451865816160826,0.25,-1.0576913319737535e-05,False
MG_L200_T0_C25,200,0.0,25.0,-0.06279751986806204,-0.2111550805025535,-0.30203319479990964,0.5862068965517241,0.16951421929665667,False
MG_L252_T0_C100,252,0.0,100.0,-0.06478982891800089,-0.21188906442599506,-0.30203319479990987,0.5517241379310345,0.14096292535147215,False
MG_L252_T2_C100,252,0.02,100.0,-0.06478982891800089,-0.21188906442599506,-0.30203319479990987,0.5517241379310345,0.14096292535147215,False
MG_L5_T0_C0,5,0.0,0.0,-0.07834342764574587,-0.2406424294936547,-0.3730690289787324,0.6206896551724138,0.09250598735886517,False
MG_L60_T2_C25,60,0.02,25.0,-0.04753402149755681,-0.24436347045504292,-0.1749209313584359,0.25,0.0031085928776918847,False
MG_L200_T0_C50,200,0.0,50.0,-0.07446859937247907,-0.25110441338535056,-0.3020331947999101,0.5862068965517241,0.16513743893061372,False
MG_L252_T-2_C100,252,-0.02,100.0,-0.07990818958735035,-0.25769159064472696,-0.30203319479990987,0.6206896551724138,0.18049473190618803,False
MG_L60_T0_C100,60,0.0,100.0,-0.024836748707845024,-0.2770010485236803,-0.30203319479990987,0.375,-0.008204554409167786,False
MG_L5_T2_C50,5,0.02,50.0,-0.07463744810665018,-0.28729147746163164,-0.2007716163912775,0.0,0.0,False
MG_L15_T0_C50,15,0.0,50.0,-0.06060034733793129,-0.29531976021172995,-0.20761941834587017,0.41379310344827586,0.03212464306795049,False
MG_L5_T0_C25,5,0.0,25.0,-0.10565882557372486,-0.3267657968902006,-0.377780557928759,0.6206896551724138,0.0815830441596811,False
