policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L40_T0_C25,40,0.0,25.0,development,QAUR,0.5172413793103449,604,0.18470425985207584,0.07327604472619509,0.09025173698499103,0.8119073069849169,0.7451038733698269,-0.16963346095223775
MG_L40_T0_C25,40,0.0,25.0,historical_holdout,AUR,0.7333333333333333,312,0.11473023593845233,0.09168833392170961,0.1298004564355388,0.7063791333217972,0.7552840404369465,-0.13096078514839293
MG_L40_T0_C25,40,0.0,25.0,historical_holdout,QAUR,0.7333333333333333,312,0.1427357410310024,0.11378761853507013,0.13256320886527279,0.8583649981701579,0.9402411246189427,-0.13096078514839293
MG_L40_T0_C25,40,0.0,25.0,observed_2026,AUR,0.5,160,0.04248634213346292,0.0677285091599229,0.10932621849969079,0.6195083859057511,0.639132804703147,-0.05014955772766738
MG_L40_T0_C25,40,0.0,25.0,observed_2026,QAUR,0.5,160,0.04242514529237029,0.06762979198953056,0.10933779993082492,0.6185399014093764,0.6380461055782642,-0.050149557727667604
MG_L60_T0_C25,60,0.0,25.0,development,AUR,0.6551724137931034,604,0.1283990923089089,0.051691643179701874,0.1311632483520793,0.39410157821760305,0.3786744562427093,-0.30203319479990964
MG_L60_T0_C25,60,0.0,25.0,development,QAUR,0.6551724137931034,604,0.1283990923089089,0.051691643179701874,0.1311632483520793,0.39410157821760305,0.3786744562427093,-0.30203319479990964
MG_L60_T0_C25,60,0.0,25.0,historical_holdout,AUR,0.6666666666666666,312,-0.0025573788669852604,-0.002066083684397868,0.12388612233626958,-0.016677281082297546,-0.016502719641920773,-0.13096078514839316
MG_L60_T0_C25,60,0.0,25.0,historical_holdout,QAUR,0.6666666666666666,312,0.023781175154775402,0.019164360327158292,0.12168137199821487,0.1574962544590592,0.15537167192471993,-0.13096078514839316
MG_L60_T0_C25,60,0.0,25.0,observed_2026,AUR,0.375,160,0.020278603654201532,0.03212447600425761,0.0971543926742557,0.33065387081329634,0.26842112540830093,-0.07157112205442873
MG_L60_T0_C25,60,0.0,25.0,observed_2026,QAUR,0.375,160,0.020278603654201532,0.03212447600425761,0.0971543926742557,0.33065387081329634,0.26842112540830093,-0.07157112205442873
