date,event,fold,observations,return_applied,ticker,window
,non_trading_mark_carry,0,1.0,,DPM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DPR,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DQC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DRC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DRH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DVP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DXG,estimation_classical_benchmark
,non_trading_mark_carry,0,85.0,,DXS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ELC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FCM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FCN,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FDC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FIR,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FIT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FMC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FPT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FRT,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,FTM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,FTS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GAS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GDT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GEG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GEX,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GIL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GMD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,GSP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HAG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HAH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HAP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HAR,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HAX,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,HBC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HCM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HDC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HDG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HHP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HHS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HID,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HII,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HMC,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,HNG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HPG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HPX,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HQC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HSG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HSL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HT1,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HTI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HTN,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HUB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HVH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,HVN,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ILB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ITC,estimation_classical_benchmark
