policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L160_T2_C0,160,0.02,0.0,historical_holdout,AUR,0.6666666666666666,312,0.07371423536062349,0.05912830421584858,0.13064984733042675,0.45257078690882113,0.48043633159533305,-0.13096078514839316
MG_L160_T2_C0,160,0.02,0.0,historical_holdout,QAUR,0.6666666666666666,312,0.1310418138049403,0.10457269413692227,0.13435800025854858,0.7783138624844842,0.8451664833839345,-0.13096078514839316
MG_L160_T2_C0,160,0.02,0.0,observed_2026,AUR,0.375,160,0.09385540719169527,0.15175967951453906,0.10173216240154513,1.4917571388636295,1.2847167737482779,-0.03739451144014039
MG_L160_T2_C0,160,0.02,0.0,observed_2026,QAUR,0.375,160,0.09379135715754505,0.15165346238384436,0.10174262142168139,1.4905598092986323,1.2835857312568768,-0.0373945114401405
MG_L160_T2_C25,160,0.02,25.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T2_C25,160,0.02,25.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T2_C25,160,0.02,25.0,development,AUR,0.5517241379310345,604,0.021783029061678727,0.00903125071298172,0.12219235211274651,0.07391011431426259,0.059575480446860146,-0.30203319479990964
MG_L160_T2_C25,160,0.02,25.0,development,QAUR,0.5517241379310345,604,0.021783029061678727,0.00903125071298172,0.12219235211274651,0.07391011431426259,0.059575480446860146,-0.30203319479990964
MG_L160_T2_C25,160,0.02,25.0,historical_holdout,AUR,0.6666666666666666,312,0.05240714557418391,0.04211986624392683,0.13094900817478097,0.3216508993157731,0.3489583387726809,-0.13251314312244067
MG_L160_T2_C25,160,0.02,25.0,historical_holdout,QAUR,0.6666666666666666,312,0.10860753608349838,0.08684273337186421,0.1346127591536913,0.6451300301534815,0.7172275524150333,-0.13251314312244067
MG_L160_T2_C25,160,0.02,25.0,observed_2026,AUR,0.375,160,0.0911207686737161,0.1472278865017853,0.1018031546818309,1.4462016129256698,1.2633909428037982,-0.03739451144014039
MG_L160_T2_C25,160,0.02,25.0,observed_2026,QAUR,0.375,160,0.0910568787646513,0.1471220873003336,0.10181359232335925,1.4450142062866704,1.2622482738199194,-0.0373945114401405
MG_L160_T2_C50,160,0.02,50.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T2_C50,160,0.02,50.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L160_T2_C50,160,0.02,50.0,development,AUR,0.5517241379310345,604,0.0090788576553531,0.00377789469795764,0.12223261148486642,0.030907420303503703,0.024958862444322133,-0.3020331947999101
MG_L160_T2_C50,160,0.02,50.0,development,QAUR,0.5517241379310345,604,0.0090788576553531,0.00377789469795764,0.12223261148486642,0.030907420303503703,0.024958862444322133,-0.3020331947999101
MG_L160_T2_C50,160,0.02,50.0,historical_holdout,AUR,0.6666666666666666,312,0.031470948400279974,0.025342869987083905,0.13154791579595804,0.19265124676238005,0.210813541000753,-0.14118579407232257
MG_L160_T2_C50,160,0.02,50.0,historical_holdout,QAUR,0.6666666666666666,312,0.08656358988636348,0.06935391972444882,0.13515942029422084,0.5131267918542135,0.5759995562984327,-0.14118579407232257
MG_L160_T2_C50,160,0.02,50.0,observed_2026,AUR,0.375,160,0.08838613015573671,0.14270261956979757,0.10197067833181861,1.3994475853679704,1.2320995471177119,-0.03739451144014039
MG_L160_T2_C50,160,0.02,50.0,observed_2026,QAUR,0.375,160,0.08832240037175731,0.14259723769574295,0.10198108476486618,1.3982714345951883,1.2309634602899473,-0.0373945114401405
MG_L160_T2_C100,160,0.02,100.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L160_T2_C100,160,0.02,100.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
