policy_id,lookback,threshold,switching_cost_bps,fold,method,market_growth,exposure
MG_L120_T2_C0,120,0.02,0.0,46,AUR,0.030273424577749397,1.0
MG_L120_T2_C0,120,0.02,0.0,47,AUR,0.0356730709969344,1.0
MG_L120_T2_C0,120,0.02,0.0,48,AUR,-0.020917743641649333,0.0
MG_L120_T2_C0,120,0.02,0.0,49,AUR,-0.0004039369990732622,0.0
MG_L120_T2_C0,120,0.02,0.0,50,AUR,-0.01683532545010258,0.0
MG_L120_T2_C0,120,0.02,0.0,51,AUR,-0.009218226624602477,0.0
MG_L120_T2_C0,120,0.02,0.0,52,AUR,-0.07689730768055647,0.0
MG_L120_T2_C0,120,0.02,0.0,0,QAUR,0.4305059673836651,1.0
MG_L120_T2_C0,120,0.02,0.0,1,QAUR,0.07531565805578144,1.0
MG_L120_T2_C0,120,0.02,0.0,2,QAUR,-0.1115885616384672,0.0
MG_L120_T2_C0,120,0.02,0.0,3,QAUR,-0.27760194449301767,0.0
MG_L120_T2_C0,120,0.02,0.0,4,QAUR,-0.16836219622237647,0.0
MG_L120_T2_C0,120,0.02,0.0,5,QAUR,-0.204420963722587,0.0
MG_L120_T2_C0,120,0.02,0.0,6,QAUR,-0.2849583036374672,0.0
MG_L120_T2_C0,120,0.02,0.0,7,QAUR,-0.18407742810615468,0.0
MG_L120_T2_C0,120,0.02,0.0,8,QAUR,-0.20991490682370728,0.0
MG_L120_T2_C0,120,0.02,0.0,9,QAUR,-0.20982540085607404,0.0
MG_L120_T2_C0,120,0.02,0.0,10,QAUR,-0.22055393061527417,0.0
MG_L120_T2_C0,120,0.02,0.0,11,QAUR,-0.2389595502226134,0.0
MG_L120_T2_C0,120,0.02,0.0,12,QAUR,-0.11643078710663224,0.0
MG_L120_T2_C0,120,0.02,0.0,13,QAUR,0.013654999883330854,0.0
MG_L120_T2_C0,120,0.02,0.0,14,QAUR,0.14735436936633328,1.0
MG_L120_T2_C0,120,0.02,0.0,15,QAUR,0.19739630440246847,1.0
MG_L120_T2_C0,120,0.02,0.0,16,QAUR,0.2238555391609598,1.0
MG_L120_T2_C0,120,0.02,0.0,17,QAUR,0.24913884190841684,1.0
MG_L120_T2_C0,120,0.02,0.0,18,QAUR,0.1548173578672698,1.0
MG_L120_T2_C0,120,0.02,0.0,19,QAUR,0.01730312925256361,0.0
MG_L120_T2_C0,120,0.02,0.0,20,QAUR,-0.024598062295543066,0.0
MG_L120_T2_C0,120,0.02,0.0,21,QAUR,0.004622120552185027,0.0
MG_L120_T2_C0,120,0.02,0.0,22,QAUR,-0.07575136013359884,0.0
MG_L120_T2_C0,120,0.02,0.0,23,QAUR,-0.040864890615007976,0.0
MG_L120_T2_C0,120,0.02,0.0,24,QAUR,0.07715443305496383,1.0
MG_L120_T2_C0,120,0.02,0.0,25,QAUR,0.10302088449724911,1.0
MG_L120_T2_C0,120,0.02,0.0,26,QAUR,0.09676155026190392,1.0
MG_L120_T2_C0,120,0.02,0.0,27,QAUR,0.07371898608265925,1.0
MG_L120_T2_C0,120,0.02,0.0,28,QAUR,0.01965975386132124,0.0
MG_L120_T2_C0,120,0.02,0.0,29,QAUR,-0.0072542065255294386,0.0
MG_L120_T2_C0,120,0.02,0.0,30,QAUR,-0.011283607668235107,0.0
MG_L120_T2_C0,120,0.02,0.0,31,QAUR,-0.014685160837886402,0.0
MG_L120_T2_C0,120,0.02,0.0,32,QAUR,-0.056868005780532305,0.0
MG_L120_T2_C0,120,0.02,0.0,33,QAUR,-0.02539573499338177,0.0
MG_L120_T2_C0,120,0.02,0.0,34,QAUR,0.06898929225284345,1.0
MG_L120_T2_C0,120,0.02,0.0,35,QAUR,0.11729670846142648,1.0
MG_L120_T2_C0,120,0.02,0.0,36,QAUR,0.09810903686953099,1.0
MG_L120_T2_C0,120,0.02,0.0,37,QAUR,0.0071914907246584114,0.0
MG_L120_T2_C0,120,0.02,0.0,38,QAUR,0.053068488220826104,1.0
MG_L120_T2_C0,120,0.02,0.0,39,QAUR,0.04672025404935343,1.0
MG_L120_T2_C0,120,0.02,0.0,40,QAUR,0.13272610136142982,1.0
MG_L120_T2_C0,120,0.02,0.0,41,QAUR,0.12547710920081934,1.0
MG_L120_T2_C0,120,0.02,0.0,42,QAUR,0.3761534411362204,1.0
MG_L120_T2_C0,120,0.02,0.0,43,QAUR,0.18300060076832914,1.0
MG_L120_T2_C0,120,0.02,0.0,44,QAUR,0.15109500031127077,1.0
MG_L120_T2_C0,120,0.02,0.0,45,QAUR,0.09183288368768627,1.0
MG_L120_T2_C0,120,0.02,0.0,46,QAUR,0.030273424577749397,1.0
MG_L120_T2_C0,120,0.02,0.0,47,QAUR,0.0356730709969344,1.0
MG_L120_T2_C0,120,0.02,0.0,48,QAUR,-0.020917743641649333,0.0
MG_L120_T2_C0,120,0.02,0.0,49,QAUR,-0.0004039369990732622,0.0
MG_L120_T2_C0,120,0.02,0.0,50,QAUR,-0.01683532545010258,0.0
MG_L120_T2_C0,120,0.02,0.0,51,QAUR,-0.009218226624602477,0.0
MG_L120_T2_C0,120,0.02,0.0,52,QAUR,-0.07689730768055647,0.0
MG_L120_T2_C25,120,0.02,25.0,0,AUR,0.4305059673836651,1.0
MG_L120_T2_C25,120,0.02,25.0,1,AUR,0.07531565805578144,1.0
MG_L120_T2_C25,120,0.02,25.0,2,AUR,-0.1115885616384672,0.0
MG_L120_T2_C25,120,0.02,25.0,3,AUR,-0.27760194449301767,0.0
MG_L120_T2_C25,120,0.02,25.0,4,AUR,-0.16836219622237647,0.0
MG_L120_T2_C25,120,0.02,25.0,5,AUR,-0.204420963722587,0.0
MG_L120_T2_C25,120,0.02,25.0,6,AUR,-0.2849583036374672,0.0
MG_L120_T2_C25,120,0.02,25.0,7,AUR,-0.18407742810615468,0.0
MG_L120_T2_C25,120,0.02,25.0,8,AUR,-0.20991490682370728,0.0
MG_L120_T2_C25,120,0.02,25.0,9,AUR,-0.20982540085607404,0.0
MG_L120_T2_C25,120,0.02,25.0,10,AUR,-0.22055393061527417,0.0
MG_L120_T2_C25,120,0.02,25.0,11,AUR,-0.2389595502226134,0.0
MG_L120_T2_C25,120,0.02,25.0,12,AUR,-0.11643078710663224,0.0
MG_L120_T2_C25,120,0.02,25.0,13,AUR,0.013654999883330854,0.0
MG_L120_T2_C25,120,0.02,25.0,14,AUR,0.14735436936633328,1.0
MG_L120_T2_C25,120,0.02,25.0,15,AUR,0.19739630440246847,1.0
MG_L120_T2_C25,120,0.02,25.0,16,AUR,0.2238555391609598,1.0
MG_L120_T2_C25,120,0.02,25.0,17,AUR,0.24913884190841684,1.0
MG_L120_T2_C25,120,0.02,25.0,18,AUR,0.1548173578672698,1.0
MG_L120_T2_C25,120,0.02,25.0,19,AUR,0.01730312925256361,0.0
MG_L120_T2_C25,120,0.02,25.0,20,AUR,-0.024598062295543066,0.0
MG_L120_T2_C25,120,0.02,25.0,21,AUR,0.004622120552185027,0.0
MG_L120_T2_C25,120,0.02,25.0,22,AUR,-0.07575136013359884,0.0
MG_L120_T2_C25,120,0.02,25.0,23,AUR,-0.040864890615007976,0.0
MG_L120_T2_C25,120,0.02,25.0,24,AUR,0.07715443305496383,1.0
MG_L120_T2_C25,120,0.02,25.0,25,AUR,0.10302088449724911,1.0
MG_L120_T2_C25,120,0.02,25.0,26,AUR,0.09676155026190392,1.0
MG_L120_T2_C25,120,0.02,25.0,27,AUR,0.07371898608265925,1.0
MG_L120_T2_C25,120,0.02,25.0,28,AUR,0.01965975386132124,0.0
MG_L120_T2_C25,120,0.02,25.0,29,AUR,-0.0072542065255294386,0.0
MG_L120_T2_C25,120,0.02,25.0,30,AUR,-0.011283607668235107,0.0
MG_L120_T2_C25,120,0.02,25.0,31,AUR,-0.014685160837886402,0.0
MG_L120_T2_C25,120,0.02,25.0,32,AUR,-0.056868005780532305,0.0
MG_L120_T2_C25,120,0.02,25.0,33,AUR,-0.02539573499338177,0.0
MG_L120_T2_C25,120,0.02,25.0,34,AUR,0.06898929225284345,1.0
MG_L120_T2_C25,120,0.02,25.0,35,AUR,0.11729670846142648,1.0
MG_L120_T2_C25,120,0.02,25.0,36,AUR,0.09810903686953099,1.0
MG_L120_T2_C25,120,0.02,25.0,37,AUR,0.0071914907246584114,0.0
MG_L120_T2_C25,120,0.02,25.0,38,AUR,0.053068488220826104,1.0
MG_L120_T2_C25,120,0.02,25.0,39,AUR,0.04672025404935343,1.0
MG_L120_T2_C25,120,0.02,25.0,40,AUR,0.13272610136142982,1.0
MG_L120_T2_C25,120,0.02,25.0,41,AUR,0.12547710920081934,1.0
MG_L120_T2_C25,120,0.02,25.0,42,AUR,0.3761534411362204,1.0
MG_L120_T2_C25,120,0.02,25.0,43,AUR,0.18300060076832914,1.0
MG_L120_T2_C25,120,0.02,25.0,44,AUR,0.15109500031127077,1.0
MG_L120_T2_C25,120,0.02,25.0,45,AUR,0.09183288368768627,1.0
MG_L120_T2_C25,120,0.02,25.0,46,AUR,0.030273424577749397,1.0
MG_L120_T2_C25,120,0.02,25.0,47,AUR,0.0356730709969344,1.0
MG_L120_T2_C25,120,0.02,25.0,48,AUR,-0.020917743641649333,0.0
MG_L120_T2_C25,120,0.02,25.0,49,AUR,-0.0004039369990732622,0.0
MG_L120_T2_C25,120,0.02,25.0,50,AUR,-0.01683532545010258,0.0
MG_L120_T2_C25,120,0.02,25.0,51,AUR,-0.009218226624602477,0.0
MG_L120_T2_C25,120,0.02,25.0,52,AUR,-0.07689730768055647,0.0
MG_L120_T2_C25,120,0.02,25.0,0,QAUR,0.4305059673836651,1.0
MG_L120_T2_C25,120,0.02,25.0,1,QAUR,0.07531565805578144,1.0
MG_L120_T2_C25,120,0.02,25.0,2,QAUR,-0.1115885616384672,0.0
MG_L120_T2_C25,120,0.02,25.0,3,QAUR,-0.27760194449301767,0.0
MG_L120_T2_C25,120,0.02,25.0,4,QAUR,-0.16836219622237647,0.0
MG_L120_T2_C25,120,0.02,25.0,5,QAUR,-0.204420963722587,0.0
MG_L120_T2_C25,120,0.02,25.0,6,QAUR,-0.2849583036374672,0.0
MG_L120_T2_C25,120,0.02,25.0,7,QAUR,-0.18407742810615468,0.0
MG_L120_T2_C25,120,0.02,25.0,8,QAUR,-0.20991490682370728,0.0
MG_L120_T2_C25,120,0.02,25.0,9,QAUR,-0.20982540085607404,0.0
MG_L120_T2_C25,120,0.02,25.0,10,QAUR,-0.22055393061527417,0.0
MG_L120_T2_C25,120,0.02,25.0,11,QAUR,-0.2389595502226134,0.0
