fold,feature,training_coverage,active
35,return_5d,0.9996057937062149,True
35,return_20d,0.998468226972721,True
35,return_60d,0.9955342058432636,True
35,return_120d,0.9913894082400379,True
35,sma_ratio_20,0.9985414367129953,True
35,ema_ratio_20,1.0,True
35,rsi_14,0.986202779717523,True
35,macd,1.0,True
35,atr_14,0.9989806951546415,True
35,volatility_20d,0.998468226972721,True
35,downside_volatility_20d,0.9985414367129953,True
35,drawdown_60d,0.9956130471020206,True
35,liquidity_20d,0.9985414367129953,True
35,beta_60d,0.9955342058432636,True
35,roe_pit,0.0,False
35,revenue_growth_yoy_pit,0.0,False
35,policy_rate_pit,0.0,False
36,return_5d,0.9996353292976442,True
36,return_20d,0.9984739933686035,True
36,return_60d,0.9954780832907885,True
36,return_120d,0.9910964245440214,True
36,sma_ratio_20,0.9985525378275725,True
36,ema_ratio_20,1.0,True
36,rsi_14,0.9867203761157521,True
36,macd,1.0,True
36,atr_14,0.9990238045813861,True
36,volatility_20d,0.9984739933686035,True
36,downside_volatility_20d,0.9985525378275725,True
36,drawdown_60d,0.9955510174312596,True
36,liquidity_20d,0.9985525378275725,True
36,beta_60d,0.9954780832907885,True
36,roe_pit,0.0,False
36,revenue_growth_yoy_pit,0.0,False
36,policy_rate_pit,0.0,False
37,return_5d,0.9996356297998766,True
37,return_20d,0.9985425191995067,True
37,return_60d,0.9954818095184708,True
37,return_120d,0.9910701272492852,True
37,sma_ratio_20,0.9986153932395314,True
37,ema_ratio_20,1.0,True
37,rsi_14,0.9872526486910701,True
37,macd,1.0,True
37,atr_14,0.9990526374796793,True
37,volatility_20d,0.9985425191995067,True
37,downside_volatility_20d,0.9986153932395314,True
37,drawdown_60d,0.9955546835584954,True
37,liquidity_20d,0.9986153932395314,True
37,beta_60d,0.9954818095184708,True
37,roe_pit,0.0,False
37,revenue_growth_yoy_pit,0.0,False
37,policy_rate_pit,0.0,False
38,return_5d,0.9996063279962657,True
38,return_20d,0.9984534314139011,True
38,return_60d,0.9954783958428236,True
38,return_120d,0.9910074066575559,True
38,sma_ratio_20,0.9985265419288804,True
38,ema_ratio_20,1.0,True
38,rsi_14,0.9863227098131183,True
38,macd,1.0,True
38,atr_14,0.9989764527902909,True
38,volatility_20d,0.9984534314139011,True
38,downside_volatility_20d,0.9985265419288804,True
38,drawdown_60d,0.9955571302435705,True
38,liquidity_20d,0.9985265419288804,True
38,beta_60d,0.9954783958428236,True
38,roe_pit,0.0,False
38,revenue_growth_yoy_pit,0.0,False
38,policy_rate_pit,0.0,False
39,return_5d,0.9996070616632519,True
39,return_20d,0.9984282466530073,True
39,return_60d,0.9954082348648573,True
39,return_120d,0.9908894439922535,True
39,sma_ratio_20,0.998506834320357,True
39,ema_ratio_20,1.0,True
39,rsi_14,0.9858486064722557,True
39,macd,1.0,True
39,atr_14,0.9989783603244548,True
39,volatility_20d,0.9984282466530073,True
39,downside_volatility_20d,0.998506834320357,True
39,drawdown_60d,0.9954812091273962,True
39,liquidity_20d,0.998506834320357,True
39,beta_60d,0.9954082348648573,True
39,roe_pit,0.0,False
39,revenue_growth_yoy_pit,0.0,False
39,policy_rate_pit,0.0,False
40,return_5d,0.9996075727251832,True
40,return_20d,0.9984302909007328,True
40,return_60d,0.9952908727021982,True
40,return_120d,0.9907779590418048,True
40,sma_ratio_20,0.9985087763556961,True
40,ema_ratio_20,1.0,True
40,rsi_14,0.9857324655084456,True
40,macd,1.0,True
40,atr_14,0.9989796890854763,True
40,volatility_20d,0.9984302909007328,True
40,downside_volatility_20d,0.9985087763556961,True
40,drawdown_60d,0.9953693581571615,True
40,liquidity_20d,0.9985087763556961,True
40,beta_60d,0.9952908727021982,True
40,roe_pit,0.0,False
40,revenue_growth_yoy_pit,0.0,False
40,policy_rate_pit,0.0,False
41,return_5d,0.9996072027787598,True
41,return_20d,0.9984288111150391,True
41,return_60d,0.9952864333451172,True
41,return_120d,0.9907748766897295,True
41,sma_ratio_20,0.9985073705592872,True
41,ema_ratio_20,1.0,True
41,rsi_14,0.9857582950356043,True
41,macd,1.0,True
41,atr_14,0.9989787272247754,True
41,volatility_20d,0.9984288111150391,True
41,downside_volatility_20d,0.9985073705592872,True
41,drawdown_60d,0.9953649927893653,True
41,liquidity_20d,0.9985073705592872,True
