fold,decision_time,selected_tickers,long_only,full_investment,configured_lower_bound,effective_lower_bounds_equity_sleeve,configured_upper_bound,effective_upper_bounds,portfolio_notional_vnd,max_adv_participation,capacity_constraint_applied,sector_cap,sector_metadata_available,sector_constraint_applied,sector_constraint_reason,max_one_way_turnover,prior_exit_weight,remaining_turnover_limit,cash_allowed_by_exposure_overlay,target_equity_exposure,target_cash_weight,solver_solution_selection,board_lot,cash_residual_weight,executed_cardinality,solver_cardinality_preserved_after_rounding,executed_one_way_turnover,turnover_cap_satisfied_after_rounding
24,2024-04-29,HDB|SHI|VPI|CDC,True,False,0.05,0.0606575255|0.0592000592|0.236000236|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.15675967420608083,,True,0.25,0.75,best_observed_feasible,100,0.8094903154296875,4,True,0.37280762460110783,True
25,2024-05-30,ACB|HPG|TCB|VPI,True,False,0.05,0.07829106267|0.08666675073|0.186000186|0.2356002356,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.133081459848807,,True,0.25,0.75,best_observed_feasible,100,0.8100272558593751,4,True,0.2642540295659764,True
26,2024-06-28,HPG|ACB|TCB|VHM,True,False,0.05,0.08742432961|0.07372073778|0.1861264586|0.1504001504,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.057924988789784804,,True,0.25,0.75,best_observed_feasible,100,0.7826917072630042,4,True,0.23258623212687635,True
27,2024-07-30,TCB|HDB|ACB|DPM,True,False,0.05,0.1805704449|0.06489841255|0.07433635559|0.08276381714,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.09557463129865576,,True,0.25,0.75,best_observed_feasible,100,0.7907181448435396,4,True,0.2600125461573559,True
28,2024-08-30,MBB|TVB|ILB|THG,True,False,0.05,0.06548096001|0.05|0.1384001384|0.146000146,0.4,0.4|0.4|0.2167815|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.21576159284484592,,True,0.25,0.75,best_observed_feasible,100,0.7886363932335816,4,True,0.4271251996112644,True
29,2024-09-27,KDH|ACB|VPB|HDB,True,False,0.05,0.1300827785|0.08003086128|0.0784000784|0.07273762743,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.2114286143853325,,True,0.25,0.75,best_observed_feasible,100,0.7989591171875,4,True,0.4124694971978325,True
30,2024-10-30,VPB|ACB|KDH|HDB,True,False,0.05,0.081000081|0.07756837444|0.1218183015|0.07016739048,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.0,,True,0.25,0.75,best_observed_feasible,100,0.79156038671875,4,True,0.12731190621520255,True
31,2024-11-29,ACB|VIB|VPI|LPB,True,False,0.05,0.07741446804|0.06631585538|0.2308002308|0.128000128,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.1645863069013525,,True,0.25,0.75,best_observed_feasible,100,0.809209560546875,4,True,0.35576456560191233,True
32,2024-12-30,KDH|VIB|TCM|DPM,True,False,0.05,0.1301819505|0.07035094535|0.1674460581|0.08195805071,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.14037759633597655,,True,0.25,0.75,best_observed_feasible,100,0.784347740234375,4,True,0.3382982676752746,True
33,2025-01-30,HPG|SHB|VIB|VPI,True,False,0.05,0.08045462733|0.05|0.07245621308|0.236000236,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.17231132763065796,,True,0.25,0.75,best_observed_feasible,100,0.76400403125,4,True,0.4091515365630347,True
34,2025-02-27,VIB|ACB|VCI|SHB,True,False,0.05,0.05|0.05|0.05|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.12230546846833577,,True,0.6,0.4,best_observed_feasible,100,0.408668498046875,4,True,0.6760043687536258,True
35,2025-03-28,ACB|CTG|STB|VIB,True,False,0.05,0.08003086128|0.1150470838|0.153000153|0.07017550768,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.13410230274388665,,True,0.25,0.75,best_observed_feasible,100,0.8003258984375,4,True,0.5298854010671479,True
36,2025-04-29,HCM|KOS|TDM|ACC,True,False,0.05,0.101000101|0.1546001546|0.2104002104|0.0564000564,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.1894779863001993,,True,0.25,0.75,best_observed_feasible,100,0.77435,4,True,0.41512798630019926,True
37,2025-05-30,VIC|HVN|SBT|KOS,True,False,0.05,0.194000194|0.1582001582|0.06830195893|0.1544001544,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.15112832913225815,,True,0.25,0.75,best_observed_feasible,100,0.7879726367187501,4,True,0.36300351740978176,True
38,2025-06-27,SHB|BAF|VNM|KOS,True,False,0.05,0.05|0.1171902031|0.2272002272|0.1552001552,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.1752091890063883,,True,0.25,0.75,best_observed_feasible,100,0.770312744140625,4,True,0.36618945089271715,True
39,2025-07-30,STB|BAF|SAB|SSB,True,False,0.05,0.08183341517|0.05|0.08216674883|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.15667447745380877,,True,0.6,0.4,best_observed_feasible,100,0.48434875390625,4,True,0.5865096256129059,True
40,2025-08-29,VNM|CTG|SBT|SAB,True,False,0.05,0.242000242|0.1413198444|0.09283028033|0.184000184,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.3349499578756813,,True,0.25,0.75,best_observed_feasible,100,0.7889625273437499,4,True,0.5504823778938905,True
41,2025-09-29,HPG|SBT|LPB|VNM,True,False,0.05,0.1047273782|0.09094348938|0.1918001918|0.246000246,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.1264809668244576,,True,0.25,0.75,best_observed_feasible,100,0.773424783203125,4,True,0.2698755288522507,True
42,2025-10-30,MBB|HPG|VNM|NVL,True,False,0.05,0.096000096|0.09745464433|0.2296002296|0.05,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.14698525884013994,,True,0.25,0.75,best_observed_feasible,100,0.8079107822265625,4,True,0.26076687579184793,True
43,2025-11-28,KOS|TLD|HTG|SMB,True,False,0.05,0.1558001558|0.05|0.1556668275|0.1608001608,0.4,0.4|0.4|0.4|0.4,100000000,0.05,True,0.5,False,False,disabled_or_insufficient_sector_metadata,,0.19888527976377673,,True,0.25,0.75,best_observed_feasible,100,0.80897333203125,4,True,0.38991194773252674,True
