config_id,family,candidate_size,portfolio_cardinality,weight_upper,weight_lower,weight_mode,signal_blend,correlation_penalty,stability_weight,covariance_span,covariance_shrinkage,risk_aversion_qubo,risk_aversion_weights,turnover_penalty,volatility_target,transaction_cost_bps,qa_warm_start,market_regime_lookback,minimum_validation_ic,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,mean_max_weight,mean_effective_names
C3_NMVT_M,constraint_and_allocation,10,8,0.15,0.02,normalized_mean_variance,0.7,0.1,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.06630124457855202,0.1224935366508153,0.1492219585079919,0.8208814431574084,1.088736092492843,-0.09705241949760057,0.15,7.098776263169337
R_K10P6_CP20_S15,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.2,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,-0.0032672002058365957,-0.005873272984839195,0.13560887314569464,-0.04331038853577895,-0.05851418641156207,-0.08791015380404432,0.24999999999999997,4.63363961209477
R_K10P6_CP20_S15,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.2,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,-0.01727393196037219,-0.03087798894581706,0.13435058851668297,-0.22983143793212926,-0.2900374774649201,-0.0830223146315151,0.25,4.637397918458704
R_K10P6_CP20_S30,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.2,0.3,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.02821045436476277,0.0513507466402614,0.13782865351713397,0.3725694572926943,0.5519481939059291,-0.08779291862204797,0.24999999999999986,4.578327014690738
R_K10P6_CP20_S30,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.2,0.3,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.01648432119776233,0.029867211852345754,0.12936994941436666,0.2308666888063958,0.3732174117432489,-0.08994520517670135,0.25,4.541520835509117
R_K10P6_CP30_S15,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.3,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.028270103192427953,0.05146053343538193,0.1519733697985146,0.3386154660096568,0.46014082579040544,-0.08808881237914978,0.24999999999999978,4.61315165942613
R_K10P6_CP30_S15,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.3,0.15,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,-0.00045514540435676043,-0.0008191125700316437,0.13443527144902512,-0.006092988552801287,-0.00804132045968252,-0.08063441108458014,0.24999999999999972,4.5810527538166
R_K10P6_CP30_S30,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.3,0.3,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,AUR,140,0.03526134637900458,0.06436356199315707,0.13885089426567795,0.4635444541682499,0.6996125781577945,-0.08276402491514179,0.25,4.562502158194179
R_K10P6_CP30_S30,reduction_sensitivity,10,6,0.25,0.02,normalized_mean_variance,0.7,0.3,0.3,60,0.2,0.55,2.0,0.15,0.0,25.0,False,0,-1.0,QAUR,140,0.0065236461347522035,0.011773191472575162,0.14778371385189915,0.07966501291457338,0.11141826427950029,-0.08423026559933033,0.24999999999999992,4.607320083181479
W_K8P4_CP30,warm_started_qaur,8,4,0.3,0.02,normalized_mean_variance,0.7,0.3,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,AUR,140,-0.004792955813446409,-0.008610775025199469,0.1327992150561642,-0.06484055663700836,-0.08358505239125943,-0.06759810044263648,0.3,3.6686364642892135
