config_id,fold,method,fold_return
C3_NMV_M,49,QAUR,0.04700310062920399
C3_NMV_M,50,AUR,-0.01512937296577932
C3_NMV_M,50,QAUR,-0.01512937296577932
C3_NMV_M,51,AUR,-0.03984879721507151
C3_NMV_M,51,QAUR,-0.03984879721507151
C3_NMVT_X,45,AUR,0.02103220279852258
C3_NMVT_X,45,QAUR,0.00433379191153449
C3_NMVT_X,46,AUR,0.030205677198368752
C3_NMVT_X,46,QAUR,0.03020567719836853
C3_NMVT_X,47,AUR,-0.0444061533300123
C3_NMVT_X,47,QAUR,-0.044406153343763854
C3_NMVT_X,48,AUR,0.059686537264151074
C3_NMVT_X,48,QAUR,0.05968653726398632
C3_NMVT_X,49,AUR,0.0189101051394871
C3_NMVT_X,49,QAUR,0.018910105139404276
C3_NMVT_X,50,AUR,-0.027826420574553645
C3_NMVT_X,50,QAUR,-0.027826420589118883
C3_NMVT_X,51,AUR,-0.035215683286596966
C3_NMVT_X,51,QAUR,-0.03521568328448055
C3_NMVT_M,45,AUR,0.019850624534455186
C3_NMVT_M,45,QAUR,0.019850624534455186
C3_NMVT_M,46,AUR,0.014078028257629827
C3_NMVT_M,46,QAUR,0.014078028257629827
C3_NMVT_M,47,AUR,-0.02213415782866157
C3_NMVT_M,47,QAUR,-0.02213415782866157
C3_NMVT_M,48,AUR,0.05775904536264043
C3_NMVT_M,48,QAUR,0.05775904536264043
C3_NMVT_M,49,AUR,0.054232138338727864
C3_NMVT_M,49,QAUR,0.054232138338727864
C3_NMVT_M,50,AUR,-0.015240745096485209
C3_NMVT_M,50,QAUR,-0.015240745096485209
C3_NMVT_M,51,AUR,-0.039848797215071174
C3_NMVT_M,51,QAUR,-0.039848797215071174
R_K10P6_CP20_S15,45,AUR,-0.0010812168764006147
R_K10P6_CP20_S15,45,QAUR,-0.00040111473890835914
R_K10P6_CP20_S15,46,AUR,0.004565329819590236
R_K10P6_CP20_S15,46,QAUR,0.020759016998532998
R_K10P6_CP20_S15,47,AUR,-0.016488012091741777
R_K10P6_CP20_S15,47,QAUR,-0.03221098049472482
R_K10P6_CP20_S15,48,AUR,0.056542242133334364
R_K10P6_CP20_S15,48,QAUR,0.03142149032478114
R_K10P6_CP20_S15,49,AUR,0.015219992615497224
R_K10P6_CP20_S15,49,QAUR,0.01585159126647251
R_K10P6_CP20_S15,50,AUR,-0.03344757294204015
R_K10P6_CP20_S15,50,QAUR,-0.025408150798970852
R_K10P6_CP20_S15,51,AUR,-0.025866936099089077
R_K10P6_CP20_S15,51,QAUR,-0.02542878062979803
R_K10P6_CP20_S30,45,AUR,0.012786172736005241
R_K10P6_CP20_S30,45,QAUR,-0.00040111473890835914
R_K10P6_CP20_S30,46,AUR,0.009869457812686111
R_K10P6_CP20_S30,46,QAUR,0.015520410626868486
R_K10P6_CP20_S30,47,AUR,-0.01395894786885854
R_K10P6_CP20_S30,47,QAUR,-0.020944791370482774
R_K10P6_CP20_S30,48,AUR,0.05470043843658989
R_K10P6_CP20_S30,48,QAUR,0.0666065509667737
R_K10P6_CP20_S30,49,AUR,0.026077964554993782
R_K10P6_CP20_S30,49,QAUR,0.018181995018967667
R_K10P6_CP20_S30,50,AUR,-0.03321845065216056
R_K10P6_CP20_S30,50,QAUR,-0.03411725262096754
R_K10P6_CP20_S30,51,AUR,-0.025535153721062742
R_K10P6_CP20_S30,51,QAUR,-0.024954204646362332
R_K10P6_CP30_S15,45,AUR,0.01348937823782137
R_K10P6_CP30_S15,45,QAUR,-0.00036431082854970764
R_K10P6_CP30_S15,46,AUR,0.0388913868275409
R_K10P6_CP30_S15,46,QAUR,0.007599729280802103
R_K10P6_CP30_S15,47,AUR,-0.024710938171763175
R_K10P6_CP30_S15,47,QAUR,0.008144181352397917
R_K10P6_CP30_S15,48,AUR,0.04393041502560191
R_K10P6_CP30_S15,48,QAUR,0.017566732309085786
R_K10P6_CP30_S15,49,AUR,0.015366542307005737
R_K10P6_CP30_S15,49,QAUR,0.015524663892796609
R_K10P6_CP30_S15,50,AUR,-0.03060105073825703
R_K10P6_CP30_S15,50,QAUR,-0.022608738018152774
R_K10P6_CP30_S15,51,AUR,-0.025487163881372177
R_K10P6_CP30_S15,51,QAUR,-0.02539638639622177
R_K10P6_CP30_S30,45,AUR,0.04810451397699822
R_K10P6_CP30_S30,45,QAUR,-0.00036431082854970764
R_K10P6_CP30_S30,46,AUR,0.01616968319105272
R_K10P6_CP30_S30,46,QAUR,0.03706528374923446
R_K10P6_CP30_S30,47,AUR,-0.030169351282381518
R_K10P6_CP30_S30,47,QAUR,-0.03258516683145951
R_K10P6_CP30_S30,48,AUR,0.034782916091321114
R_K10P6_CP30_S30,48,QAUR,0.03256639779355064
R_K10P6_CP30_S30,49,AUR,0.014235769586812053
R_K10P6_CP30_S30,49,QAUR,0.013656838738271393
R_K10P6_CP30_S30,50,AUR,-0.03199970391002516
R_K10P6_CP30_S30,50,QAUR,-0.03214307676099082
R_K10P6_CP30_S30,51,AUR,-0.013448852715722381
R_K10P6_CP30_S30,51,QAUR,-0.009297435557262923
W_K8P4_CP30,45,AUR,0.0004875887621602626
W_K8P4_CP30,45,QAUR,0.0012453896927888675
W_K8P4_CP30,46,AUR,0.023409735103939733
W_K8P4_CP30,46,QAUR,0.008717034879476948
