config_id,market_gate_lookback,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
C2_IV_X,30,development_2022_2024,QAUR,604,0.11887175350116408,0.047977720527196954,0.08232995133096986,0.5827492880971653,0.5358149046668066,-0.1538662687091854
C2_IV_X,30,historical_holdout_2024_2025,AUR,312,0.11204431017420258,0.08956328201403174,0.11272759401832787,0.7945107211236146,0.9592658312412026,-0.1142015480149684
C2_IV_X,30,historical_holdout_2024_2025,QAUR,312,0.10216906341580301,0.08174167021096501,0.11255433531937142,0.7262418633544777,0.8524514930930266,-0.1142015480149684
C2_IV_X,30,observed_2026,AUR,160,0.037332739010732974,0.059426869688392836,0.1129060902111539,0.5263389209320269,0.5284438950760574,-0.057065906734618865
C2_IV_X,30,observed_2026,QAUR,160,0.018070451160679957,0.02860844640947935,0.11447485600693158,0.24991030700879044,0.25853717230712386,-0.07909701136987224
C2_IV_X,40,development_2022_2024,AUR,604,0.05395020953173102,0.022164906827648156,0.07899488921100434,0.2805865929939235,0.24006993517380393,-0.16847477988679005
C2_IV_X,40,development_2022_2024,QAUR,604,0.05395020953173102,0.022164906827648156,0.07899488921100434,0.2805865929939235,0.24006993517380393,-0.16847477988679005
C2_IV_X,40,historical_holdout_2024_2025,AUR,312,0.0946951837450043,0.07581308269150333,0.11047639561002892,0.6862378363529911,0.7894620858999835,-0.1142015480149684
C2_IV_X,40,historical_holdout_2024_2025,QAUR,312,0.062319226490906265,0.050040367239152506,0.1090235696537077,0.45898668882422455,0.506776154225164,-0.1142015480149684
C2_IV_X,40,observed_2026,AUR,160,0.0370278274369622,0.058936446877351445,0.10490176322910004,0.5618251310860932,0.4929159565464092,-0.05312942699848755
C2_IV_X,40,observed_2026,QAUR,160,0.01776360517738773,0.028120203866955018,0.1066960863677089,0.26355422044294846,0.23871698930808208,-0.06941885629743494
C2_IV_M,0,development_2022_2024,AUR,604,-0.19730229267495625,-0.08761668648908749,0.1466774959572665,-0.5973423933731049,-0.6514334619671979,-0.4237874719455349
C2_IV_M,0,development_2022_2024,QAUR,604,-0.19397893775882347,-0.08604254951404355,0.146647512015908,-0.5867303736098151,-0.6398074199393131,-0.4237874719455349
C2_IV_M,0,historical_holdout_2024_2025,AUR,312,0.2061966996903628,0.16348503597977393,0.13468728130777624,1.213811982782483,1.5495137986561502,-0.13375249752557772
C2_IV_M,0,historical_holdout_2024_2025,QAUR,312,0.2011803326429391,0.159575260297808,0.13132666981796084,1.2151017041626357,1.5054229500898322,-0.13375249752557772
C2_IV_M,0,observed_2026,AUR,160,0.03323388053871179,0.05284116186752619,0.13243664903003813,0.39899198790163604,0.533244389447141,-0.09047040276827856
C2_IV_M,0,observed_2026,QAUR,160,0.03323388053871179,0.05284116186752619,0.13243664903003813,0.39899198790163604,0.533244389447141,-0.09047040276827856
C2_IV_M,20,development_2022_2024,AUR,604,0.05687233159821736,0.02334634863601881,0.0781470322675445,0.29874901142874055,0.24553579436649667,-0.13339637759548761
C2_IV_M,20,development_2022_2024,QAUR,604,0.05681973832068343,0.023325101507155388,0.07814176026671142,0.29849726225187095,0.24531233626840937,-0.13339637759548761
C2_IV_M,20,historical_holdout_2024_2025,AUR,312,0.23538911133606266,0.186176178909222,0.09328217035455509,1.9958388425310774,2.6672790659326098,-0.0518198295661374
C2_IV_M,20,historical_holdout_2024_2025,QAUR,312,0.21992982922948068,0.17417274354577117,0.08813261808061607,1.9762574554003725,2.5623685557465925,-0.05181982956613751
C2_IV_M,20,observed_2026,AUR,160,-0.03456358025977102,-0.05389400856447857,0.09310560912617051,-0.5788481389069159,-0.45573438221503987,-0.08217175992101422
C2_IV_M,20,observed_2026,QAUR,160,-0.03456358025977102,-0.05389400856447857,0.09310560912617051,-0.5788481389069159,-0.45573438221503987,-0.08217175992101422
C2_IV_M,30,development_2022_2024,AUR,604,0.12843018577686682,0.051703733977910504,0.08288370954271368,0.623810568604742,0.5623657841132962,-0.1310120925151287
C2_IV_M,30,development_2022_2024,QAUR,604,0.13310214879755744,0.05351824078654177,0.08281952322061457,0.6462031982963719,0.5822598671450876,-0.1310120925151287
C2_IV_M,30,historical_holdout_2024_2025,AUR,312,0.14847689344526938,0.11830505617348419,0.12883949992414204,0.9182359155626939,1.0229216072125884,-0.1337524975255776
C2_IV_M,30,historical_holdout_2024_2025,QAUR,312,0.13410520429426254,0.1069884383749864,0.125142921341254,0.8549300050558842,0.9280746180150081,-0.1337524975255776
