config_id,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,selection_score
P_K10P6_CP30_M200,development,AUR,604,-0.1825567133588084,-0.08066096507643172,0.13588518296656218,-0.5935964710462972,-0.46720064046553006,-0.3580328445284232,-0.40518718947266746
P_K10P6_CP30_M200,development,QAUR,604,-0.07309434997621977,-0.031172156593523348,0.14379766321963716,-0.21677790789903773,-0.1741555889620321,-0.3546856849782951,-0.40518718947266746
P_K10P6_CP30_M200,holdout,AUR,312,0.2277955882273306,0.18028378289892633,0.14027314859385015,1.2852337365073612,1.5912567258301953,-0.12444393373488005,-0.40518718947266746
P_K10P6_CP30_M200,holdout,QAUR,312,0.20294105297949216,0.16094792945430259,0.13489060995273713,1.193173709502058,1.4838119231265716,-0.12822776077971587,-0.40518718947266746
P_K10P6_CP30_M200,all,AUR,916,0.0036532609641053426,0.0010037175925246,0.13752233817079548,0.007298578586396894,0.006690591993335278,-0.3580328445284232,-0.40518718947266746
P_K10P6_CP30_M200,all,QAUR,916,0.11501285865224808,0.030403030728948677,0.14085533856766166,0.21584578219123865,0.1986896898550821,-0.3546856849782951,-0.40518718947266746
P_K10P6_CP30_IC0_M120,development,AUR,604,-0.2442866998755534,-0.11029032727520216,0.12073941447119296,-0.9134575296579409,-0.5240530684312913,-0.3580328445284232,-0.8567920755437858
P_K10P6_CP30_IC0_M120,development,QAUR,604,-0.2233881220934214,-0.10010656239054339,0.12511340044114197,-0.8001266214296306,-0.4638799281144802,-0.3546856849782951,-0.8567920755437858
P_K10P6_CP30_IC0_M120,holdout,AUR,312,0.05669949186831591,0.04555152827529296,0.11306284649925953,0.40288679867609106,0.36283079961284187,-0.12444393379866736,-0.8567920755437858
P_K10P6_CP30_IC0_M120,holdout,QAUR,312,0.06258316843550538,0.05025108198945816,0.11809922526703574,0.42549882842867737,0.3937222067014636,-0.12822776070765618,-0.8567920755437858
P_K10P6_CP30_IC0_M120,all,AUR,916,-0.20143813976037006,-0.0600079292406126,0.11821581002556288,-0.5076133998289784,-0.3352195819444326,-0.3580328445284232,-0.8567920755437858
