spec_id,worst_segment_return,worst_segment_sharpe,worst_segment_drawdown,minimum_segment_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps
OV0030,-0.05133711323260137,-0.37796509702974596,-0.15434762514564437,0.3793103448275862,0,3,0.0,60,0.0,25.0
OV0054,-0.05111098760708632,-0.38048318175369816,-0.160196761247818,0.3618355952892487,0,3,0.15,120,0.0,25.0
OV0087,-0.060686178141287295,-0.3889119844295367,-0.1522509558934404,0.1724137931034483,20,0,0.0,60,0.05,25.0
OV0088,-0.060686178141287295,-0.3889119844295367,-0.1522509558934404,0.1724137931034483,20,0,0.0,60,0.1,25.0
OV0067,-0.0603417548256876,-0.3931604387724982,-0.1522509558934404,0.20648879197958775,0,6,0.1,120,0.05,25.0
OV0068,-0.0603417548256876,-0.3931604387724982,-0.1522509558934404,0.20648879197958775,0,6,0.1,120,0.1,25.0
OV0403,-0.0603417548256876,-0.3931604387724982,-0.1522509558934404,0.20648879197958775,200,6,0.1,120,0.05,25.0
OV0404,-0.0603417548256876,-0.3931604387724982,-0.1522509558934404,0.20648879197958775,200,6,0.1,120,0.1,25.0
OV0059,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.0,60,0.05,25.0
OV0060,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.0,60,0.1,25.0
OV0071,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.12,60,0.05,25.0
OV0072,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.12,60,0.1,25.0
OV0075,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.12,120,0.05,25.0
OV0076,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.12,120,0.1,25.0
OV0079,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.15,60,0.05,25.0
OV0080,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.15,60,0.1,25.0
OV0083,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.15,120,0.05,25.0
OV0084,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,0,6,0.15,120,0.1,25.0
OV0395,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.0,60,0.05,25.0
OV0396,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.0,60,0.1,25.0
OV0407,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.12,60,0.05,25.0
OV0408,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.12,60,0.1,25.0
OV0411,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.12,120,0.05,25.0
OV0412,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.12,120,0.1,25.0
OV0415,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.15,60,0.05,25.0
OV0416,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.15,60,0.1,25.0
OV0419,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.15,120,0.05,25.0
OV0420,-0.060664605116346415,-0.39506761432819615,-0.1522509558934404,0.20689655172413793,200,6,0.15,120,0.1,25.0
OV0063,-0.061772569706674885,-0.407226226202537,-0.1522509558934404,0.20253358812582017,0,6,0.1,60,0.05,25.0
OV0064,-0.061772569706674885,-0.407226226202537,-0.1522509558934404,0.20253358812582017,0,6,0.1,60,0.1,25.0
OV0399,-0.061772569706674885,-0.407226226202537,-0.1522509558934404,0.20253358812582017,200,6,0.1,60,0.05,25.0
OV0400,-0.061772569706674885,-0.407226226202537,-0.1522509558934404,0.20253358812582017,200,6,0.1,60,0.1,25.0
OV0021,-0.14335203738058244,-0.41028656513987044,-0.4573001192140058,0.903565971888462,0,0,0.15,60,-1.0,25.0
OV0374,-0.07008945173010594,-0.42093261072471894,-0.17740631556429587,0.27499905690860327,200,3,0.1,120,0.0,25.0
OV0366,-0.07024909036974869,-0.42158885821099573,-0.17740631556429587,0.27586206896551724,200,3,0.0,60,0.0,25.0
OV0378,-0.07024909036974869,-0.42158885821099573,-0.17740631556429587,0.27586206896551724,200,3,0.12,60,0.0,25.0
OV0382,-0.07024909036974869,-0.42158885821099573,-0.17740631556429587,0.27586206896551724,200,3,0.12,120,0.0,25.0
OV0386,-0.07024909036974869,-0.42158885821099573,-0.17740631556429587,0.27586206896551724,200,3,0.15,60,0.0,25.0
OV0390,-0.07024909036974869,-0.42158885821099573,-0.17740631556429587,0.27586206896551724,200,3,0.15,120,0.0,25.0
OV0001,-0.15983494869259818,-0.4317367676844554,-0.48718161780184843,1.0,0,0,0.0,60,-1.0,25.0
OV0370,-0.07134574987103759,-0.4326230259785716,-0.17740631556429587,0.27149910536719946,200,3,0.1,60,0.0,25.0
OV0111,-0.06596282708350176,-0.43854520988024154,-0.1522509558934404,0.1646143624075532,20,0,0.15,120,0.05,25.0
OV0112,-0.06596282708350176,-0.43854520988024154,-0.1522509558934404,0.1646143624075532,20,0,0.15,120,0.1,25.0
OV0107,-0.06876264496519013,-0.4647833006414979,-0.1522509558934404,0.16050779603936688,20,0,0.15,60,0.05,25.0
OV0108,-0.06876264496519013,-0.4647833006414979,-0.1522509558934404,0.16050779603936688,20,0,0.15,60,0.1,25.0
OV0103,-0.06960418076791564,-0.4726087951935276,-0.1522509558934404,0.1592776968225943,20,0,0.12,120,0.05,25.0
OV0104,-0.06960418076791564,-0.4726087951935276,-0.1522509558934404,0.1592776968225943,20,0,0.12,120,0.1,25.0
OV0010,-0.1400319382273495,-0.4917983638872776,-0.3214686436732578,0.5271242399056442,0,0,0.1,120,0.0,25.0
OV0095,-0.07167191422016927,-0.4927486383432275,-0.1522509558934404,0.15531216002140483,20,0,0.1,120,0.05,25.0
OV0096,-0.07167191422016927,-0.4927486383432275,-0.1522509558934404,0.15531216002140483,20,0,0.1,120,0.1,25.0
OV0099,-0.07185812389692803,-0.493354090796268,-0.1522509558934404,0.15599244372804522,20,0,0.12,60,0.05,25.0
OV0100,-0.07185812389692803,-0.493354090796268,-0.1522509558934404,0.15599244372804522,20,0,0.12,60,0.1,25.0
OV0091,-0.0726142127687106,-0.5038686583369312,-0.1522509558934404,0.15154190496894507,20,0,0.1,60,0.05,25.0
