spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,sample,method,mean_exposure,active_folds,total_folds,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
OV0007,0,0,0.1,60,0.05,25.0,bridge,QAUR,0.9940789509528171,1,1,22,-0.005094589888057777,-0.05682682326537791,0.17542954767534924,-0.32392960033472756,-0.5670553691721466,-0.050255552108060764
OV0007,0,0,0.1,60,0.05,25.0,development,AUR,0.35891043127483263,13,29,604,-0.22510016862011506,-0.10093478185992422,0.11974268946379502,-0.8429306399572937,-0.6246724605535521,-0.34750945724366245
OV0007,0,0,0.1,60,0.05,25.0,development,QAUR,0.35891043127483263,13,29,604,-0.22510016862011506,-0.10093478185992422,0.11974268946379502,-0.8429306399572937,-0.6246724605535521,-0.34750945724366245
OV0007,0,0,0.1,60,0.05,25.0,historical_holdout,AUR,0.573027103917707,11,15,312,0.020688110283105132,0.016676658296991054,0.10669039250388233,0.15630890378797893,0.15237665564525082,-0.13096078514839327
OV0007,0,0,0.1,60,0.05,25.0,historical_holdout,QAUR,0.5690585282266891,11,15,312,0.03471210463764396,0.027944388699464362,0.10556068154527294,0.2647234584922564,0.25700893520484386,-0.13096078514839327
OV0007,0,0,0.1,60,0.05,25.0,observed_2026,AUR,0.6655500572720093,8,8,160,0.1151169703750492,0.18721580512176073,0.10822191029148188,1.7299251567221359,2.602185168926003,-0.07040398027038841
OV0007,0,0,0.1,60,0.05,25.0,observed_2026,QAUR,0.6558956141322543,8,8,160,0.11184562003658804,0.1817349255603311,0.10708253028543695,1.6971482190036256,2.5864119593566124,-0.07040398027038752
OV0008,0,0,0.1,60,0.1,25.0,bridge,AUR,0.8084685363936632,1,1,22,0.0009887467958220597,0.011384363919716645,0.11015620605058722,0.10334745837641307,0.2890912968800648,-0.046632309264883265
OV0008,0,0,0.1,60,0.1,25.0,bridge,QAUR,0.9940789509528171,1,1,22,-0.005094589888057777,-0.05682682326537791,0.17542954767534924,-0.32392960033472756,-0.5670553691721466,-0.050255552108060764
OV0008,0,0,0.1,60,0.1,25.0,development,AUR,0.3252029808672378,11,29,604,-0.21412279987715488,-0.09564272640871763,0.1190154830618802,-0.8036158317232533,-0.5505355146323183,-0.341537091384278
OV0008,0,0,0.1,60,0.1,25.0,development,QAUR,0.3252029808672378,11,29,604,-0.21412279987715488,-0.09564272640871763,0.1190154830618802,-0.8036158317232533,-0.5505355146323183,-0.341537091384278
OV0008,0,0,0.1,60,0.1,25.0,historical_holdout,AUR,0.33204653338870604,7,15,312,0.07184835756436092,0.057641473176782254,0.041918618260036185,1.3750804670901025,1.6637307211988237,-0.03475552016869077
OV0008,0,0,0.1,60,0.1,25.0,historical_holdout,QAUR,0.33310929816314416,7,15,312,0.08833214004626955,0.07075951961790183,0.04431038053409218,1.5969061597983756,2.00723792369509,-0.03475552016869077
OV0008,0,0,0.1,60,0.1,25.0,observed_2026,AUR,0.5812619413853307,7,8,160,0.13189357838963578,0.2154687954570762,0.10074900136651661,2.1386692923458206,2.932583623806703,-0.04153811573665278
OV0008,0,0,0.1,60,0.1,25.0,observed_2026,QAUR,0.5716074982455757,7,8,160,0.12857301154405998,0.20985748363841994,0.09952844734549687,2.1085176071312928,2.9364741867087063,-0.04153811573665278
OV0009,0,0,0.1,120,-1.0,25.0,bridge,AUR,0.699835950763031,1,1,22,0.0013132503863775291,0.015146378611360811,0.09543756205420935,0.15870458428891487,0.4443262078326012,-0.040478060796473314
OV0009,0,0,0.1,120,-1.0,25.0,bridge,QAUR,0.6720099587302066,1,1,22,-0.002632791993713357,-0.029745823817928785,0.1184283872388545,-0.2511713999611881,-0.43910753495547644,-0.03417536064190052
OV0009,0,0,0.1,120,-1.0,25.0,development,AUR,0.7510558155495252,29,29,604,-0.04370832864724694,-0.01847369356212558,0.13028259704731487,-0.14179709324812179,-0.1587970537425924,-0.3388719060989437
OV0009,0,0,0.1,120,-1.0,25.0,development,QAUR,0.7510558155495252,29,29,604,-0.04370832864724694,-0.01847369356212558,0.13028259704731487,-0.14179709324812179,-0.1587970537425924,-0.3388719060989437
OV0009,0,0,0.1,120,-1.0,25.0,historical_holdout,AUR,0.8182320987567944,15,15,312,0.11127472838483476,0.08895422212070536,0.1155630993431731,0.7697459018172338,0.9089487552567144,-0.13096078514839304
OV0009,0,0,0.1,120,-1.0,25.0,historical_holdout,QAUR,0.8064599015366922,15,15,312,0.14423396757157847,0.11496692120836638,0.11565088480712303,0.9940859631130593,1.1767100747714685,-0.13096078514839304
OV0009,0,0,0.1,120,-1.0,25.0,observed_2026,AUR,0.6508853096227097,8,8,160,0.11996541495965274,0.19535599333841014,0.10492744123042697,1.8618198542495346,2.855432096675842,-0.06853086978098555
OV0009,0,0,0.1,120,-1.0,25.0,observed_2026,QAUR,0.6407641849260226,8,8,160,0.12001589985547056,0.19544086062216515,0.10387844268909571,1.8814381074917759,2.870252021011297,-0.06705042060645194
OV0010,0,0,0.1,120,0.0,25.0,bridge,AUR,0.699835950763031,1,1,22,0.0013132503863775291,0.015146378611360811,0.09543756205420935,0.15870458428891487,0.4443262078326012,-0.040478060796473314
OV0010,0,0,0.1,120,0.0,25.0,bridge,QAUR,0.6720099587302066,1,1,22,-0.002632791993713357,-0.029745823817928785,0.1184283872388545,-0.2511713999611881,-0.43910753495547644,-0.03417536064190052
OV0010,0,0,0.1,120,0.0,25.0,development,AUR,0.5271242399056442,19,29,604,-0.1400319382273495,-0.06100169139063427,0.12403801205938159,-0.4917983638872776,-0.448862024135039,-0.3214686436732578
OV0010,0,0,0.1,120,0.0,25.0,development,QAUR,0.5271242399056442,19,29,604,-0.1400319382273495,-0.06100169139063427,0.12403801205938159,-0.4917983638872776,-0.448862024135039,-0.3214686436732578
OV0010,0,0,0.1,120,0.0,25.0,historical_holdout,AUR,0.6112831036855265,11,15,312,0.04050246643763078,0.03258813521258919,0.10934815966935899,0.2980217985481184,0.2982217283871054,-0.13096078514839327
OV0010,0,0,0.1,120,0.0,25.0,historical_holdout,QAUR,0.6038203629190507,11,15,312,0.06134665343458323,0.04926383877864193,0.10924812000113872,0.4509353458725738,0.45148900479608967,-0.13096078514839327
OV0010,0,0,0.1,120,0.0,25.0,observed_2026,AUR,0.6508853096227097,8,8,160,0.11996541495965274,0.19535599333841014,0.10492744123042697,1.8618198542495346,2.855432096675842,-0.06853086978098555
OV0010,0,0,0.1,120,0.0,25.0,observed_2026,QAUR,0.6407641849260226,8,8,160,0.12001589985547056,0.19544086062216515,0.10387844268909571,1.8814381074917759,2.870252021011297,-0.06705042060645194
OV0011,0,0,0.1,120,0.05,25.0,bridge,AUR,0.699835950763031,1,1,22,0.0013132503863775291,0.015146378611360811,0.09543756205420935,0.15870458428891487,0.4443262078326012,-0.040478060796473314
OV0011,0,0,0.1,120,0.05,25.0,bridge,QAUR,0.6720099587302066,1,1,22,-0.002632791993713357,-0.029745823817928785,0.1184283872388545,-0.2511713999611881,-0.43910753495547644,-0.03417536064190052
OV0011,0,0,0.1,120,0.05,25.0,development,AUR,0.3552247122037817,13,29,604,-0.1781113589182277,-0.07857838696451291,0.11690978937393448,-0.6721283768049648,-0.5026469249143211,-0.3086738421709806
OV0011,0,0,0.1,120,0.05,25.0,development,QAUR,0.3552247122037817,13,29,604,-0.1781113589182277,-0.07857838696451291,0.11690978937393448,-0.6721283768049648,-0.5026469249143211,-0.3086738421709806
OV0011,0,0,0.1,120,0.05,25.0,historical_holdout,AUR,0.6112831036855265,11,15,312,0.04050246643763078,0.03258813521258919,0.10934815966935899,0.2980217985481184,0.2982217283871054,-0.13096078514839327
OV0011,0,0,0.1,120,0.05,25.0,historical_holdout,QAUR,0.6038203629190507,11,15,312,0.06134665343458323,0.04926383877864193,0.10924812000113872,0.4509353458725738,0.45148900479608967,-0.13096078514839327
OV0011,0,0,0.1,120,0.05,25.0,observed_2026,AUR,0.6508853096227097,8,8,160,0.11996541495965274,0.19535599333841014,0.10492744123042697,1.8618198542495346,2.855432096675842,-0.06853086978098555
OV0011,0,0,0.1,120,0.05,25.0,observed_2026,QAUR,0.6407641849260226,8,8,160,0.12001589985547056,0.19544086062216515,0.10387844268909571,1.8814381074917759,2.870252021011297,-0.06705042060645194
