spec_id,worst_method_sharpe,worst_method_return,worst_method_drawdown,minimum_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,eligible
OV0094,-0.22124413694162284,-0.03384678418388454,-0.1522509558934404,0.22265990583057688,20,0,0.1,120,0.0,25.0,False
OV0325,-0.22126048364333079,-0.03944860228403835,-0.16400592554323878,0.44333761230364466,120,6,0.12,120,-1.0,25.0,False
OV0090,-0.22137187831628702,-0.03365802679479424,-0.1522509558934404,0.22050742221032438,20,0,0.1,60,0.0,25.0,False
OV0350,-0.22190041334858696,-0.06014696800795738,-0.30203319479990964,0.389816422547433,200,0,0.12,60,0.0,25.0,False
OV0354,-0.22190041334858696,-0.06014696800795738,-0.30203319479990964,0.389816422547433,200,0,0.12,120,0.0,25.0,False
OV0358,-0.2311763945970442,-0.06275611357544975,-0.30203319479990964,0.39244294197739465,200,0,0.15,60,0.0,25.0,False
OV0362,-0.2311763945970442,-0.06275611357544975,-0.30203319479990964,0.39244294197739465,200,0,0.15,120,0.0,25.0,False
OV0313,-0.2322264288863445,-0.041002599235650194,-0.16419441637354815,0.4383157173027084,120,6,0.1,60,-1.0,25.0,False
OV0178,-0.2364592993652619,-0.06354610537574235,-0.30203319479990964,0.36043536016134037,60,0,0.1,120,0.0,25.0,False
OV0348,-0.24151970431890726,-0.06264540696810017,-0.30203319479990964,0.2754543092209671,200,0,0.1,120,0.1,25.0,False
OV0174,-0.24250666133538668,-0.06509126333544046,-0.30203319479990964,0.3658771218220409,60,0,0.1,60,0.0,25.0,False
OV0340,-0.2427346847354663,-0.0629674657638003,-0.30203319479990964,0.27586206896551724,200,0,0.0,60,0.1,25.0,False
OV0352,-0.2427346847354663,-0.0629674657638003,-0.30203319479990964,0.27586206896551724,200,0,0.12,60,0.1,25.0,False
OV0356,-0.2427346847354663,-0.0629674657638003,-0.30203319479990964,0.27586206896551724,200,0,0.12,120,0.1,25.0,False
OV0360,-0.2427346847354663,-0.0629674657638003,-0.30203319479990964,0.27586206896551724,200,0,0.15,60,0.1,25.0,False
OV0364,-0.2427346847354663,-0.0629674657638003,-0.30203319479990964,0.27586206896551724,200,0,0.15,120,0.1,25.0,False
OV0005,-0.24803534945965236,-0.07964301383498829,-0.3819665100605938,0.8027213130677889,0,0,0.1,60,-1.0,25.0,False
OV0344,-0.24809960405835527,-0.06407271408466098,-0.30203319479990964,0.27149910536719946,200,0,0.1,60,0.1,25.0,False
OV0317,-0.25398796844838195,-0.04488381565060795,-0.1678699087179062,0.4308459464484063,120,6,0.1,120,-1.0,25.0,False
OV0025,-0.2548820410785008,-0.08491576304938431,-0.4108605471779001,0.8596251484792646,0,0,0.15,120,-1.0,25.0,False
OV0347,-0.27416434344055024,-0.07114736584279191,-0.30203319479990964,0.284209373987506,200,0,0.1,120,0.05,25.0,False
OV0402,-0.276636438378066,-0.047294791821016924,-0.17379147064396705,0.309481815529293,200,6,0.1,120,0.0,25.0,False
OV0394,-0.2774020926011888,-0.04745834364188506,-0.17379147064396705,0.3103448275862069,200,6,0.0,60,0.0,25.0,False
OV0406,-0.2774020926011888,-0.04745834364188506,-0.17379147064396705,0.3103448275862069,200,6,0.12,60,0.0,25.0,False
OV0410,-0.2774020926011888,-0.04745834364188506,-0.17379147064396705,0.3103448275862069,200,6,0.12,120,0.0,25.0,False
OV0414,-0.2774020926011888,-0.04745834364188506,-0.17379147064396705,0.3103448275862069,200,6,0.15,60,0.0,25.0,False
OV0418,-0.2774020926011888,-0.04745834364188506,-0.17379147064396705,0.3103448275862069,200,6,0.15,120,0.0,25.0,False
OV0343,-0.2808269511718267,-0.0725617270512654,-0.30203319479990964,0.2802541701337385,200,0,0.1,60,0.05,25.0,False
OV0351,-0.2817217658856171,-0.07317731141100281,-0.30203319479990964,0.286368146685364,200,0,0.12,60,0.05,25.0,False
OV0355,-0.2817217658856171,-0.07317731141100281,-0.30203319479990964,0.286368146685364,200,0,0.12,120,0.05,25.0,False
OV0398,-0.28681146599566537,-0.048581885277605985,-0.17379147064396705,0.3059818639878891,200,6,0.1,60,0.0,25.0,False
OV0359,-0.29113257481974586,-0.07575028317091537,-0.30203319479990964,0.2889946661153257,200,0,0.15,60,0.05,25.0,False
OV0363,-0.29113257481974586,-0.07575028317091537,-0.30203319479990964,0.2889946661153257,200,0,0.15,120,0.05,25.0,False
OV0226,-0.29566733998143035,-0.04971215706619925,-0.17740631556429587,0.27586206896551724,60,6,0.0,60,0.0,25.0,False
OV0238,-0.29566733998143035,-0.04971215706619925,-0.17740631556429587,0.27586206896551724,60,6,0.12,60,0.0,25.0,False
OV0242,-0.29566733998143035,-0.04971215706619925,-0.17740631556429587,0.27586206896551724,60,6,0.12,120,0.0,25.0,False
OV0246,-0.29566733998143035,-0.04971215706619925,-0.17740631556429587,0.27586206896551724,60,6,0.15,60,0.0,25.0,False
OV0250,-0.29566733998143035,-0.04971215706619925,-0.17740631556429587,0.27586206896551724,60,6,0.15,120,0.0,25.0,False
OV0338,-0.301291422465998,-0.08426003473113941,-0.30203319479990964,0.41379310344827586,200,0,0.0,60,0.0,25.0,False
OV0234,-0.30228745043849753,-0.05069480636413759,-0.17740631556429587,0.2738365377887598,60,6,0.1,120,0.0,25.0,False
OV0013,-0.30695628228553073,-0.10314736466042174,-0.4179250087624148,0.8579763700905104,0,0,0.12,60,-1.0,25.0,False
OV0230,-0.30793026728230494,-0.05123451443949423,-0.17740631556429587,0.27149910536719946,60,6,0.1,60,0.0,25.0,False
OV0339,-0.36069746057845026,-0.09695606890794539,-0.30203319479990964,0.3103448275862069,200,0,0.0,60,0.05,25.0,False
OV0087,-0.3889119844295367,-0.060686178141287295,-0.1522509558934404,0.1724137931034483,20,0,0.0,60,0.05,25.0,False
OV0088,-0.3889119844295367,-0.060686178141287295,-0.1522509558934404,0.1724137931034483,20,0,0.0,60,0.1,25.0,False
OV0067,-0.3931604387724982,-0.0603417548256876,-0.1522509558934404,0.20648879197958775,0,6,0.1,120,0.05,25.0,False
OV0068,-0.3931604387724982,-0.0603417548256876,-0.1522509558934404,0.20648879197958775,0,6,0.1,120,0.1,25.0,False
OV0403,-0.3931604387724982,-0.0603417548256876,-0.1522509558934404,0.20648879197958775,200,6,0.1,120,0.05,25.0,False
OV0404,-0.3931604387724982,-0.0603417548256876,-0.1522509558934404,0.20648879197958775,200,6,0.1,120,0.1,25.0,False
OV0059,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.0,60,0.05,25.0,False
OV0060,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.0,60,0.1,25.0,False
OV0071,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.12,60,0.05,25.0,False
OV0072,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.12,60,0.1,25.0,False
OV0075,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.12,120,0.05,25.0,False
OV0076,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.12,120,0.1,25.0,False
OV0079,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.15,60,0.05,25.0,False
OV0080,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.15,60,0.1,25.0,False
OV0083,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.15,120,0.05,25.0,False
OV0084,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,0,6,0.15,120,0.1,25.0,False
OV0395,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.0,60,0.05,25.0,False
OV0396,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.0,60,0.1,25.0,False
OV0407,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.12,60,0.05,25.0,False
OV0408,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.12,60,0.1,25.0,False
OV0411,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.12,120,0.05,25.0,False
OV0412,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.12,120,0.1,25.0,False
OV0415,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.15,60,0.05,25.0,False
OV0416,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.15,60,0.1,25.0,False
OV0419,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.15,120,0.05,25.0,False
OV0420,-0.39506761432819615,-0.060664605116346415,-0.1522509558934404,0.20689655172413793,200,6,0.15,120,0.1,25.0,False
OV0063,-0.407226226202537,-0.061772569706674885,-0.1522509558934404,0.20253358812582017,0,6,0.1,60,0.05,25.0,False
OV0064,-0.407226226202537,-0.061772569706674885,-0.1522509558934404,0.20253358812582017,0,6,0.1,60,0.1,25.0,False
OV0399,-0.407226226202537,-0.061772569706674885,-0.1522509558934404,0.20253358812582017,200,6,0.1,60,0.05,25.0,False
OV0400,-0.407226226202537,-0.061772569706674885,-0.1522509558934404,0.20253358812582017,200,6,0.1,60,0.1,25.0,False
OV0172,-0.4093998703182775,-0.10489674008408179,-0.30203319479990964,0.20689655172413793,60,0,0.0,60,0.1,25.0,False
OV0021,-0.41028656513987044,-0.14335203738058244,-0.4573001192140058,0.903565971888462,0,0,0.15,60,-1.0,25.0,False
OV0374,-0.42093261072471894,-0.07008945173010594,-0.17740631556429587,0.27499905690860327,200,3,0.1,120,0.0,25.0,False
OV0366,-0.42158885821099573,-0.07024909036974869,-0.17740631556429587,0.27586206896551724,200,3,0.0,60,0.0,25.0,False
OV0378,-0.42158885821099573,-0.07024909036974869,-0.17740631556429587,0.27586206896551724,200,3,0.12,60,0.0,25.0,False
OV0382,-0.42158885821099573,-0.07024909036974869,-0.17740631556429587,0.27586206896551724,200,3,0.12,120,0.0,25.0,False
OV0386,-0.42158885821099573,-0.07024909036974869,-0.17740631556429587,0.27586206896551724,200,3,0.15,60,0.0,25.0,False
OV0390,-0.42158885821099573,-0.07024909036974869,-0.17740631556429587,0.27586206896551724,200,3,0.15,120,0.0,25.0,False
OV0171,-0.4309047007972603,-0.11106247995579621,-0.30203319479990964,0.2413793103448276,60,0,0.0,60,0.05,25.0,False
OV0001,-0.4317367676844554,-0.15983494869259818,-0.48718161780184843,1.0,0,0,0.0,60,-1.0,25.0,False
OV0370,-0.4326230259785716,-0.07134574987103759,-0.17740631556429587,0.27149910536719946,200,3,0.1,60,0.0,25.0,False
OV0196,-0.43507332304054674,-0.10992503367424966,-0.30203319479990964,0.19909712102824287,60,0,0.15,120,0.1,25.0,False
OV0111,-0.43854520988024154,-0.06596282708350176,-0.1522509558934404,0.1646143624075532,20,0,0.15,120,0.05,25.0,False
