ticker,event_type,record_date,ex_date,reason,source_url,corroboration_url
SSB,STOCK_DIVIDEND,2024-08-26,2024-08-23,material event terms incomplete,https://www.vsd.vn/vi/ad/173801,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,BONUS_SHARE,2024-08-26,2024-08-23,material event terms incomplete,https://www.vsd.vn/vi/ad/173801,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,STOCK_DIVIDEND,2023-06-26,2023-06-23,material event terms incomplete,https://www.vsd.vn/vi/ad/159460,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,BONUS_SHARE,2023-06-26,2023-06-23,material event terms incomplete,https://www.vsd.vn/vi/ad/159460,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,STOCK_DIVIDEND,2022-06-17,2022-06-16,material event terms incomplete,https://www.vsd.vn/vi/ad/151263,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,BONUS_SHARE,2022-06-17,2022-06-16,material event terms incomplete,https://www.vsd.vn/vi/ad/151263,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,RIGHTS_ISSUE,2022-01-18,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/147070,
SSB,RIGHTS_ISSUE,2021-10-14,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/145095,
SSB,STOCK_DIVIDEND,2021-07-26,2021-07-23,"term conflict official=0.091206, reference=912.06",https://www.vsd.vn/vi/ad/143177,https://cafef.vn/du-lieu/ssb/thong-tin-chung.chn
SSB,BONUS_SHARE,2021-07-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/143177,
SSB,RIGHTS_ISSUE,2021-07-26,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/143177,
SSI,RIGHTS_ISSUE,2025-12-09,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/189531,
SSI,RIGHTS_ISSUE,2024-09-24,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/174616,
SSI,RIGHTS_ISSUE,2022-06-23,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/151355,
SSI,RIGHTS_ISSUE,2021-09-09,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/143909,
STK,STOCK_DIVIDEND,2023-07-05,2023-07-04,material event terms incomplete,https://www.vsd.vn/vi/ad/159606,https://cafef.vn/du-lieu/stk/thong-tin-chung.chn
