ticker,year,source,data_class,records,start,end,missing_close
BCE,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BCE,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
BCE,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BCE,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BCE,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
BCE,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
BFC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BFC,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BFC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BFC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BFC,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BFC,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BHN,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BHN,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BHN,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BHN,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BHN,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BHN,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BIC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BIC,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BIC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BIC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BIC,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
BIC,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
BID,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BID,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BID,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BID,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BID,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BID,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BKG,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BKG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BKG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BKG,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BKG,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BMC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BMC,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
BMC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BMC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BMC,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BMC,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BMI,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BMI,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
