fold,decision_time,market_growth,exposure,lookback,config_id
18,2023-10-01,-0.0384385784048652,0.0,40,C2_EW_X
19,2023-11-01,-0.15670761199326066,0.0,40,C2_EW_X
20,2023-12-01,-0.012681230673926791,0.0,40,C2_EW_X
21,2024-01-01,0.07217082519019469,1.0,40,C2_EW_X
22,2024-02-01,0.006704408706444731,1.0,40,C2_EW_X
23,2024-03-01,0.0368007035855451,1.0,40,C2_EW_X
24,2024-04-01,0.06373737283032743,1.0,40,C2_EW_X
25,2024-05-01,-0.030951272266998342,0.0,40,C2_EW_X
26,2024-06-01,0.005290635046277803,1.0,40,C2_EW_X
27,2024-07-01,0.05820908568430583,1.0,40,C2_EW_X
28,2024-08-01,-0.057046721957434876,0.0,40,C2_EW_X
29,2024-09-01,-0.05334933612430348,0.0,40,C2_EW_X
30,2024-10-01,0.010484723971359466,1.0,40,C2_EW_X
31,2024-11-01,0.005997231222915955,1.0,40,C2_EW_X
32,2024-12-01,0.018291793158282665,1.0,40,C2_EW_X
33,2025-01-01,0.04411806123156703,1.0,40,C2_EW_X
34,2025-02-01,0.025884867742993478,1.0,40,C2_EW_X
35,2025-03-01,0.05901161916622977,1.0,40,C2_EW_X
36,2025-04-01,0.046935567238352016,1.0,40,C2_EW_X
37,2025-05-01,-0.09176626425902878,0.0,40,C2_EW_X
38,2025-06-01,-0.01847632085994877,0.0,40,C2_EW_X
39,2025-07-01,0.0710680094026288,1.0,40,C2_EW_X
40,2025-08-01,0.10897101891172079,1.0,40,C2_EW_X
41,2025-09-01,0.13099714419575048,1.0,40,C2_EW_X
42,2025-10-01,0.045021672146392744,1.0,40,C2_EW_X
43,2025-11-01,-0.02499763157691315,0.0,40,C2_EW_X
44,2025-12-01,-0.012542136914489022,0.0,40,C2_EW_X
45,2026-01-01,0.013030920075087105,1.0,40,C2_EW_X
46,2026-02-01,0.012432892669185014,1.0,40,C2_EW_X
47,2026-03-01,0.0341506476078528,1.0,40,C2_EW_X
48,2026-04-01,-0.022817156369280944,0.0,40,C2_EW_X
49,2026-05-01,-0.03731084178597943,0.0,40,C2_EW_X
50,2026-06-01,0.0001098722976804467,1.0,40,C2_EW_X
51,2026-07-01,-0.010141450016540987,0.0,40,C2_EW_X
52,2026-08-01,-0.03308380588478732,0.0,40,C2_EW_X
0,2022-04-01,,1.0,0,C2_EW_M
1,2022-05-01,,1.0,0,C2_EW_M
2,2022-06-01,,1.0,0,C2_EW_M
3,2022-07-01,,1.0,0,C2_EW_M
4,2022-08-01,,1.0,0,C2_EW_M
5,2022-09-01,,1.0,0,C2_EW_M
6,2022-10-01,,1.0,0,C2_EW_M
7,2022-11-01,,1.0,0,C2_EW_M
8,2022-12-01,,1.0,0,C2_EW_M
9,2023-01-01,,1.0,0,C2_EW_M
10,2023-02-01,,1.0,0,C2_EW_M
11,2023-03-01,,1.0,0,C2_EW_M
12,2023-04-01,,1.0,0,C2_EW_M
13,2023-05-01,,1.0,0,C2_EW_M
14,2023-06-01,,1.0,0,C2_EW_M
15,2023-07-01,,1.0,0,C2_EW_M
16,2023-08-01,,1.0,0,C2_EW_M
17,2023-09-01,,1.0,0,C2_EW_M
18,2023-10-01,,1.0,0,C2_EW_M
19,2023-11-01,,1.0,0,C2_EW_M
20,2023-12-01,,1.0,0,C2_EW_M
21,2024-01-01,,1.0,0,C2_EW_M
22,2024-02-01,,1.0,0,C2_EW_M
23,2024-03-01,,1.0,0,C2_EW_M
24,2024-04-01,,1.0,0,C2_EW_M
25,2024-05-01,,1.0,0,C2_EW_M
26,2024-06-01,,1.0,0,C2_EW_M
27,2024-07-01,,1.0,0,C2_EW_M
28,2024-08-01,,1.0,0,C2_EW_M
29,2024-09-01,,1.0,0,C2_EW_M
30,2024-10-01,,1.0,0,C2_EW_M
31,2024-11-01,,1.0,0,C2_EW_M
32,2024-12-01,,1.0,0,C2_EW_M
33,2025-01-01,,1.0,0,C2_EW_M
34,2025-02-01,,1.0,0,C2_EW_M
35,2025-03-01,,1.0,0,C2_EW_M
36,2025-04-01,,1.0,0,C2_EW_M
37,2025-05-01,,1.0,0,C2_EW_M
38,2025-06-01,,1.0,0,C2_EW_M
39,2025-07-01,,1.0,0,C2_EW_M
40,2025-08-01,,1.0,0,C2_EW_M
41,2025-09-01,,1.0,0,C2_EW_M
42,2025-10-01,,1.0,0,C2_EW_M
43,2025-11-01,,1.0,0,C2_EW_M
44,2025-12-01,,1.0,0,C2_EW_M
45,2026-01-01,,1.0,0,C2_EW_M
46,2026-02-01,,1.0,0,C2_EW_M
47,2026-03-01,,1.0,0,C2_EW_M
48,2026-04-01,,1.0,0,C2_EW_M
49,2026-05-01,,1.0,0,C2_EW_M
50,2026-06-01,,1.0,0,C2_EW_M
51,2026-07-01,,1.0,0,C2_EW_M
52,2026-08-01,,1.0,0,C2_EW_M
0,2022-04-01,0.038734642223986704,1.0,20,C2_EW_M
1,2022-05-01,-0.1473461990126016,0.0,20,C2_EW_M
